Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
64;Métro;VILLEJUIF-LOUIS ARAGON;5814857;M7 BLEUE;;;;;Villejuif;
127;Métro;ALEXANDRE DUMAS;3919412;M2;;;;;Paris;11
130;Métro;PASSY;3908764;M6;;;;;Paris;16
62;RER;FONTAINE-MICHALON;607405;RER B;;;;;Antony;
46;Métro;CHATEAU ROUGE;6874733;M4;;;;;Paris;18
63;Métro;COUR SAINT-EMILION;5857110;M14;;;;;Paris;12
111;Métro;MAIRIE D'ISSY;4322511;M12;;;;;Issy Les Moulineaux;
124;Métro;LES COURTILLES;3944225;M13 JAUNE;;;;;Asnières sur Seine;
198;Métro;RUE DES BOULETS;2740221;M9;;;;;Paris;11
218;Métro;RIQUET;2537863;M7;;;;;Paris;19
235;Métro;LE PELETIER;2271055;M7;;;;;Paris;9
267;Métro;LIEGE;1712165;M13;;;;;Paris;8
42;RER;SUCY-BONNEUIL;2115638;RER A;;;;;Sucy-en-Brie;
44;RER;LE VESINET-LE PECQ;2046992;RER A;;;;;Le Vésinet;
4;Métro;MONTPARNASSE-BIENVENUE;31919734;M4;M6;M12;M13;;Paris;14
21;Métro;PLACE CLICHY;9356430;M2;M13;;;;Paris;17
27;Métro;BARBES-ROCHECHOUART;8392009;M2;M4;;;;Paris;18
107;Métro;LE KREMLIN-BICETRE;4428481;M7 BLEUE;;;;;Kremlin-Bicêtre;
262;Métro;FILLES DU CALVAIRE;1784167;M8;;;;;Paris;3
301;Métro;PELLEPORT;386605;M3 bis;;;;;Paris;20
10;RER;NOISY-LE-GRAND-MONT D'EST;6788250;RER A;;;;;Noisy-le-Grand;
138;Métro;PORTE DE SAINT-OUEN;3762943;M13 BLEUE;;;;;Paris;17
162;Métro;SAINT-PLACIDE;3287084;M4;;;;;Paris;6
175;Métro;PLACE MONGE;3057167;M7;;;;;Paris;6
207;Métro;SOLFERINO;2632023;M12;;;;;Paris;7
231;Métro;BEL AIR;2319026;M6;;;;;Paris;12
15;RER;CITE UNIVERSITAIRE;5848347;RER B;;;;;Paris;14
46;RER;BAGNEUX;1941898;RER B;;;;;Cachan;
26;Métro;PORTE DE CLIGNANCOURT;8699614;M4;;;;;Paris;18
37;Métro;CONCORDE;7176639;M1;M8;M12;;;Paris;8
83;Métro;PONT DE LEVALLOIS-BECON;5100344;M3;;;;;Levallois-Perret;
85;Métro;JAURES;4992926;M2;M5;7bis;;;Paris;19
172;Métro;FAIDHERBE-CHALIGNY;3079358;M8;;;;;Paris;12
182;Métro;SAINT-DENIS-PORTE DE PARIS;2983942;M13 BLEUE;;;;;Saint Denis;
186;Métro;MAIRIE D'IVRY;2907554;M7 JAUNE;;;;;Ivry;
241;Métro;BOISSIERE;2150445;M6;;;;;Paris;16
288;Métro;TEMPLE;1207453;M3;;;;;Paris;2
291;Métro;QUAI DE LA RAPEE;986508;M5;;;;;Paris;12
7;RER;CHARLES DE GAULLE-ETOILE-RER;9405140;RER A;;;;;Paris;17
18;RER;NEUILLY-PLAISANCE;4769659;RER A;;;;;Neuilly-sur-Seine;
40;RER;ORSAY-VILLE;2202140;RER B;;;;;Orsay;
45;RER;BRY-SUR-MARNE;1966285;RER A;;;;;Bry-sur-Marne;
153;Métro;QUAI DE LA GARE;3420407;M6;;;;;Paris;13
55;RER;SAINT-REMY-LES-CHEVREUSE;884240;RER B;;;;;St-Rémy-Lès-Chevreuse;
12;Métro;OPERA;12269711;M3;M7;M8;;;Paris;9
19;Métro;NATION;9541406;M1;M2;M6;M9;;Paris;12
20;Métro;PALAIS-ROYAL;9385220;M1;M7;;;;Paris;1
